Score,Player_Name,Position,Team,Opposing_TeamFB,B2B,Salary,ImpPts,PtVal,MinutesProj,ProjPlusMinus,OppPlusMinus,Floor,AvgPts,Ceiling,Month_PPG,Season_PPG,Usage,UsageProj,PaceD,PER,Trend,MyTrends,Month_Salary_Change,Season_Salary_Change,Total,Pts,OppPts,Spread,Vegas,Run_Change,Season_Plus_Minus,Plus_Minus,Days_Between_games,OfficialPlusMinus,Refs,InjuryStatus,OppPlusMinusPct,Site_Salary,CeilingPct,Consistency,Month_Count,Season_Count,Confirmed,FloorPct,Pro_Pct,PtPerDPct,FloorPtPerDPct,ProjPlusMinusPct,Upside,FantasyResultId,SpreadPct,ProjPct,Season_PPG_Percentile,Salary_Movement,MyTrends|custom,ActualPoints,IsLocked,Month_X2,Month_X1,Month_X0,Season_X2,Season_X1,Season_X0,SourceId,PlayerId,EventTeamId,PositionId,EventId
84.33, Alexis Ajinca,PF,NO,@LAC,  ,10,12.21,2280.0,22.8,10.6,2.8,6.8,22.8,38.8,,,17.0,20.7,-0.4,15.43,0,0,0,-2,204.0,97.3,106.8,9.5,43,-1.0,,50,2,0.0,"Brent Barnaky, Dedric Taylor, Derek Richardson, Leon Wood, Marc Davis, Mike Callahan",,77,99,70,,,0,,51,0,99,30,99,,1246919,36,71,,89,0,,False,,,,,,,11,12203,30197001,201,3019700
83.3, Cody Zeller,C,CHR,@DEN,2A,13,15.84,1830.8,30.0,8.0,3.9,6.4,23.8,41.2,,,14.5,15.67,-1.1,15.8,0,0,3,-4,198.5,98.0,100.5,2.5,48,-2.0,,50,1,0.0,"Ben Taylor, Eric Dalen, James Capers",,83,99,74,,,0,,49,0,98,26,99,,1247075,58,75,,1,0,,False,,,,,,,11,12452,30197501,201,3019750
82.91, Rodney Stuckey,PG,IND,@HOU,  ,10,12.21,2000.0,27.0,7.8,3.5,6.2,20.0,33.8,,,19.7,21.39,0.3,12.59,0,0,-3,-11,207.0,102.8,104.3,1.5,75,0.5,,50,2,-0.1,"Josh Tiven, Lauren Holtkamp, Monty McCutchen",,81,99,54,,,0,,48,0,99,29,98,,1247012,47,64,,98,0,,False,,,,,,,11,12166,30197301,201,3019730
82.48, Terrence Jones,PF,HOU,IND,  ,13,15.84,1584.6,21.7,4.8,6.1,6.4,20.6,34.8,,,18.4,19.19,-0.3,14.79,0,0,-8,-5,207.0,104.3,102.8,-1.5,81,1.0,,50,3,-0.1,"Josh Tiven, Lauren Holtkamp, Monty McCutchen",,92,95,57,,,0,,49,0,95,26,96,,1247030,53,67,,100,0,,False,,,,,,,11,12386,30197302,201,3019730
82.18, Lou Williams,SG,LAL,UTA,  ,22,26.71,1404.6,36.9,4.2,5.7,18.3,30.9,43.5,,,21.0,24.95,-5.3,17.61,0,0,8,1,192.0,94.8,97.3,2.5,28,-1.5,,50,2,0.1,"Brett Nansel, John Goble, Kevin Scott",,91,89,78,,,0,,89,0,89,37,94,,1247138,27,87,,0,0,,False,,,,,,,11,12032,30197702,201,3019770
82.14, Michael Carter-Williams,PG,MIL,@NY,  ,27,32.75,1359.3,41.2,4.0,3.3,22.4,36.7,51.0,,,22.5,22.45,-0.1,15.74,0,0,6,1,197.5,96.0,101.5,5.5,36,-3.0,,50,2,-0.2,"Bill Kennedy, David Guthrie, Eli Roe",,79,89,91,,,0,,95,0,88,37,93,,1247044,46,96,,0,0,,False,,,,,,,11,12466,30197401,201,3019740
81.43, Jeff Green,PF,MEM,BOS,  ,19,23.09,1368.4,34.1,2.9,8.3,12.6,26.0,39.4,,,18.0,21.35,4.9,11.6,0,0,0,1,191.5,94.3,97.3,3.0,25,-1.2,,50,2,0.2,"Ed Malloy, Eric Lewis, J.T. Orr",,96,89,71,,,0,,75,0,88,29,90,,1246995,42,78,,89,0,,False,,,,,,,11,12160,30197202,201,3019720
81.38, Steven Adams,C,OKC,@POR,  ,10,12.21,1880.0,24.1,6.6,2.9,4.5,18.8,33.1,,,10.9,13.36,-1.6,14.71,0,0,0,-9,215.0,111.3,103.8,-7.5,96,1.0,,50,2,-0.1,"Curtis Blair, Derrick Collins, Scott Foster",,78,99,51,,,0,,40,0,98,26,98,,1247104,75,60,,89,0,,False,,,,,,,11,12478,30197601,201,3019760
81.35, Norris Cole,SG,NO,@LAC,  ,12,14.63,1650.0,27.6,5.2,7.6,8.1,19.8,31.5,,,19.8,22.01,-0.4,6.75,0,0,2,-2,204.0,97.3,106.8,9.5,43,-1.0,,50,2,0.0,"Brent Barnaky, Dedric Taylor, Derek Richardson, Leon Wood, Marc Davis, Mike Callahan",,95,97,45,,,0,,61,0,97,29,97,,1246929,36,63,,5,0,,False,,,,,,,11,12344,30197001,201,3019700
81.19, John Henson,C,MIL,@NY,  ,10,12.21,1830.0,19.2,6.1,3.6,3.9,18.3,32.7,,,17.9,18.74,-0.1,20.6,0,0,0,-7,197.5,96.0,101.5,5.5,36,-3.0,,50,2,-0.2,"Bill Kennedy, David Guthrie, Eli Roe",,82,99,49,,,0,,38,0,98,25,97,,1247040,46,59,,89,0,,False,,,,,,,11,12382,30197401,201,3019740
80.61, Trey Burke,PG,UTA,@LAL,2A,14,17.05,1535.7,24.3,4.5,5.9,9.3,21.5,33.7,,,24.6,26.62,5.3,15.84,0,0,2,-8,192.0,97.3,94.8,-2.5,43,-0.5,,50,1,0.1,"Brett Nansel, John Goble, Kevin Scott",,92,99,53,,,0,,63,0,93,29,95,,1247131,73,68,,5,0,,False,,,,,,,11,12482,30197701,201,3019770
80.4, Trey Lyles,PF,UTA,@LAL,2A,10,12.21,1870.0,29.7,6.5,2.2,5.9,18.7,31.5,,,12.9,16.41,5.3,7.77,0,0,0,0,192.0,97.3,94.8,-2.5,43,-0.5,,50,1,0.1,"Brett Nansel, John Goble, Kevin Scott",,70,99,45,,,0,,46,0,98,28,98,,1247123,73,60,,89,0,,False,,,,,,,11,12072,30197701,201,3019770
80.31, Austin Rivers,PG,LAC,NO,2H,10,12.21,1770.0,24.5,5.5,3.4,4.4,17.7,31.0,,,16.8,22.1,0.4,10.42,0,0,0,-2,204.0,106.8,97.3,-9.5,89,0.5,,50,1,0.0,"Brent Barnaky, Dedric Taylor, Derek Richardson, Leon Wood, Marc Davis, Mike Callahan",,80,96,44,,,0,,40,0,98,26,97,,1246942,64,57,,89,0,,False,,,,,,,11,12378,30197002,201,3019700
80.17, Arron Afflalo,SG,NY,MIL,  ,17,20.67,1488.2,38.1,4.6,2.7,12.4,25.3,38.2,,,17.6,19.78,0.1,13.13,0,0,2,3,197.5,101.5,96.0,-5.5,69,-2.0,,50,2,-0.2,"Bill Kennedy, David Guthrie, Eli Roe",,77,89,67,,,0,,73,0,92,31,96,,1247053,54,78,,5,0,,False,,,,,,,11,12173,30197402,201,3019740
79.91, Tony Allen,SG,MEM,BOS,  ,10,12.21,2360.0,36.5,11.4,-1.8,10.7,23.6,36.5,,,14.3,13.73,4.9,10.1,0,0,0,-9,191.5,94.3,97.3,3.0,25,-1.2,,50,2,0.2,"Ed Malloy, Eric Lewis, J.T. Orr",,30,99,62,,,0,,67,0,99,62,99,,1247005,42,74,,89,0,,False,,,,,,,11,12665,30197202,201,3019720
79.03, Zaza Pachulia,C,DAL,@MIN,  ,22,26.71,1354.6,30.7,3.1,0.8,12.3,29.8,47.1,,,16.3,20.06,-0.1,18.53,0,0,-2,1,199.0,101.8,97.3,-4.5,70,0.0,,50,2,0.0,"Dedric Taylor, Derek Richardson, Mike Callahan",,55,91,86,,,0,,73,0,88,27,90,,1246901,79,85,,95,0,,False,,,,,,,11,12641,30196901,201,3019690
79.0, Jamal Crawford,SG,LAC,NO,2H,14,17.05,1450.0,24.0,3.3,6.5,7.5,20.3,33.1,,,22.0,26.01,0.4,11.83,0,0,-4,-5,204.0,106.8,97.3,-9.5,89,0.5,,50,1,0.0,"Brent Barnaky, Dedric Taylor, Derek Richardson, Leon Wood, Marc Davis, Mike Callahan",,93,88,51,,,0,,57,0,90,27,91,,1246944,64,65,,99,0,,False,,,,,,,11,12514,30197002,201,3019700
78.92, Robin Lopez,C,NY,MIL,  ,10,12.21,2520.0,33.5,13.0,-4.1,8.8,25.2,41.6,,,15.9,18.79,0.1,14.35,0,0,0,-8,197.5,101.5,96.0,-5.5,69,-2.0,,50,2,-0.2,"Bill Kennedy, David Guthrie, Eli Roe",,11,99,75,,,0,,62,0,99,39,99,,1247054,54,77,,89,0,,False,,,,,,,11,12198,30197402,201,3019740
78.85, Jeremy Lin,PG,CHR,@DEN,2A,19,23.09,1352.6,29.3,2.6,6.0,14.5,25.7,36.9,,,21.4,24.84,-1.1,15.82,0,0,4,-1,198.5,98.0,100.5,2.5,48,-2.0,,50,1,0.0,"Ben Taylor, Eric Dalen, James Capers",Questionable,92,94,64,,,0,,79,0,87,33,89,,1247070,58,78,,0,0,,False,,,,,,,11,12312,30197501,201,3019750
78.6, Jose Calderon,PG,NY,MIL,  ,10,12.21,1860.0,31.8,6.4,0.5,7.4,18.6,29.6,,,13.0,13.06,0.1,13.19,0,0,0,-8,197.5,101.5,96.0,-5.5,69,-2.0,,50,2,-0.2,"Bill Kennedy, David Guthrie, Eli Roe",,51,99,40,,,0,,56,0,98,31,98,,1247050,54,60,,89,0,,False,,,,,,,11,12038,30197402,201,3019740
78.54, Wesley Johnson,SG,LAC,NO,2H,10,12.21,1610.0,23.8,3.9,6.5,5.0,16.1,27.2,,,14.1,16.15,0.4,11.81,0,0,0,-5,204.0,106.8,97.3,-9.5,89,0.5,,50,1,0.0,"Brent Barnaky, Dedric Taylor, Derek Richardson, Leon Wood, Marc Davis, Mike Callahan",,93,97,30,,,0,,42,0,95,26,93,,1246939,64,51,,89,0,,False,,,,,,,11,12276,30197002,201,3019700
78.5, Allen Crabbe,PG,POR,OKC,  ,13,15.84,1523.1,31.3,4.0,5.3,7.4,19.8,32.2,,,17.2,14.69,1.6,12.79,0,0,3,3,215.0,103.8,111.3,7.5,79,0.5,,50,2,-0.1,"Curtis Blair, Derrick Collins, Scott Foster",,89,97,48,,,0,,56,0,93,27,93,,1247117,25,63,,1,0,,False,,,,,,,11,12445,30197602,201,3019760
77.98, Marcus Smart,PG,BOS,@MEM,  ,14,17.05,1485.7,29.6,3.8,1.9,10.0,20.8,31.6,,,18.0,17.18,-4.9,10.59,0,0,-4,-4,191.5,97.3,94.3,-3.0,43,-0.2,,50,3,0.2,"Ed Malloy, Eric Lewis, J.T. Orr",,67,93,45,,,0,,65,0,92,31,93,,1246991,58,67,,99,0,,False,,,,,,,11,12548,30197201,201,3019720
77.41, Kelly Olynyk,C,BOS,@MEM,  ,16,19.46,1393.8,28.6,2.8,3.4,8.5,22.3,36.1,,,20.0,19.88,-4.9,15.87,0,0,6,2,191.5,97.3,94.3,-3.0,43,-0.2,,50,3,0.2,"Ed Malloy, Eric Lewis, J.T. Orr",,80,97,62,,,0,,62,0,89,27,90,,1246989,58,70,,0,0,,False,,,,,,,11,12462,30197201,201,3019720
76.24, Patrick Beverley,PG,HOU,IND,  ,12,14.63,1766.7,28.2,6.6,-3.8,10.2,21.2,32.2,,,15.9,15.96,-0.3,11.75,0,0,-2,-4,207.0,104.3,102.8,-1.5,81,1.0,,50,3,-0.1,"Josh Tiven, Lauren Holtkamp, Monty McCutchen",,13,98,48,,,0,,66,0,98,38,98,,1247027,53,67,,95,0,,False,,,,,,,11,12257,30197302,201,3019730
