Score,Player_Name,Position,Team,Opposing_TeamFB,B2B,Salary,ImpPts,PtVal,MinutesProj,ProjPlusMinus,OppPlusMinus,Floor,AvgPts,Ceiling,Month_PPG,Season_PPG,Usage,UsageProj,PaceD,PER,Trend,MyTrends,Month_Salary_Change,Season_Salary_Change,Total,Pts,OppPts,Spread,Vegas,Run_Change,Season_Plus_Minus,Plus_Minus,Days_Between_games,OfficialPlusMinus,Refs,InjuryStatus,OppPlusMinusPct,Site_Salary,CeilingPct,Consistency,Month_Count,Season_Count,Confirmed,FloorPct,Pro_Pct,PtPerDPct,FloorPtPerDPct,ProjPlusMinusPct,Upside,FantasyResultId,SpreadPct,ProjPct,Season_PPG_Percentile,Salary_Movement,MyTrends|custom,ActualPoints,IsLocked,Month_X2,Month_X1,Month_X0,Season_X2,Season_X1,Season_X0,SourceId,PlayerId,EventTeamId,PositionId,EventId
84.31, Nikola Mirotic,SF,CHI,WAS,  ,19,23.09,1436.8,30.3,4.2,8.2,15.1,27.3,39.5,,,19.7,20.68,0.5,15.55,0,0,-4,-1,207.0,107.5,99.5,-8.5,91,-0.3,,50,2,-0.1,"Brian Forte, Gediminas Petraitis, Sean Corbin",,96,95,71,,,0,,81,0,90,34,94,,1258726,56,81,,99,0,,False,,,,,,,11,12340,30205902,201,3020590
84.27, Manu Ginobili,SG,SAN,@BKN,  ,12,14.63,1758.3,21.6,6.5,5.9,8.3,21.1,33.9,,,24.3,23.32,1.6,20.4,0,0,-2,-5,195.0,104.8,90.3,-14.5,83,2.3,,50,3,-0.1,"Bennie Adams, Bill Kennedy, Steven Anderson",,92,97,54,,,0,,61,0,98,30,98,,1258676,70,67,,95,0,,False,,,,,,,11,12132,30205801,201,3020580
82.29, Gerald Green,SG,MIA,@GS,  ,10,12.21,1880.0,29.2,6.6,4.2,7.1,18.8,30.5,,,18.5,20.68,7.5,12.84,0,0,-2,-4,208.0,97.0,111.0,14.0,42,1.0,,50,2,-0.2,"Karl Lane, Leroy Richardson, Ron Garretson",,85,99,44,,,0,,53,0,98,31,98,,1258735,45,60,,95,0,,False,,,,,,,11,12020,30206001,201,3020600
80.39, Donald Sloan,PG,BKN,SAN,  ,10,12.21,1860.0,26.2,6.4,3.3,6.3,18.6,30.9,,,,20.02,-1.6,,0,0,,0,195.0,90.3,104.8,14.5,8,1.8,,50,2,-0.1,"Bennie Adams, Bill Kennedy, Steven Anderson",Starting,79,97,44,,,0,,49,0,98,29,98,,1258697,30,60,,50,0,,False,,,,,,,11,12309,30205802,201,3020580
78.66, Jared Dudley,PF,WAS,@CHI,  ,14,17.05,1557.1,38.0,4.8,2.2,10.2,21.8,33.4,,,11.5,12.33,-0.5,11.57,0,0,2,1,207.0,99.5,107.5,8.5,57,-0.3,,50,2,-0.1,"Brian Forte, Gediminas Petraitis, Sean Corbin",,70,95,52,,,0,,66,0,94,31,96,,1258708,44,69,,5,0,,False,,,,,,,11,12170,30205901,201,3020590
77.16, Gary Neal,SG,WAS,@CHI,  ,10,12.21,1680.0,18.8,4.6,1.1,4.9,16.8,28.7,,,19.1,28.54,-0.5,13.97,0,0,0,-3,207.0,99.5,107.5,8.5,57,-0.3,,50,2,-0.1,"Brian Forte, Gediminas Petraitis, Sean Corbin",,58,99,36,,,0,,41,0,97,26,96,,1258713,44,54,,89,0,,False,,,,,,,11,12311,30205901,201,3020590
76.41, Garrett Temple,SG,WAS,@CHI,  ,12,14.63,1591.7,33.4,4.5,1.1,7.6,19.1,30.6,,,14.8,17.23,-0.5,10.15,0,0,2,2,207.0,99.5,107.5,8.5,57,-0.3,,50,2,-0.1,"Brian Forte, Gediminas Petraitis, Sean Corbin",,58,99,44,,,0,,57,0,95,29,95,,1258711,44,61,,5,0,,False,,,,,,,11,12266,30205901,201,3020590
75.43, Drew Gooden,PF,WAS,@CHI,  ,10,12.21,1610.0,21.8,3.9,2.2,4.2,16.1,28.0,,,,17.73,-0.5,,0,0,0,0,207.0,99.5,107.5,8.5,57,-0.3,,50,2,-0.1,"Brian Forte, Gediminas Petraitis, Sean Corbin",,70,88,33,,,0,,39,0,95,26,93,,1258716,44,51,,89,0,,False,,,,,,,11,12610,30205901,201,3020590
75.27, Derrick Rose,PG,CHI,WAS,  ,21,25.5,1281.0,34.5,1.4,0.5,12.5,26.9,41.3,,,25.2,24.12,0.5,10.68,0,0,-7,-10,207.0,107.5,99.5,-8.5,91,-0.3,,50,2,-0.1,"Brian Forte, Gediminas Petraitis, Sean Corbin",,51,92,74,,,0,,74,0,84,28,85,,1258724,56,80,,100,0,,False,,,,,,,11,12187,30205902,201,3020590
74.91, Tyler Johnson,PG,MIA,@GS,  ,10,12.21,1570.0,21.5,3.5,1.8,6.1,15.7,25.3,,,16.8,17.11,7.5,16.42,0,0,0,-1,208.0,97.0,111.0,14.0,42,1.0,,50,2,-0.2,"Karl Lane, Leroy Richardson, Ron Garretson",Questionable,64,97,25,,,0,,47,0,94,29,92,,1258742,45,50,,89,0,,False,,,,,,,11,12580,30206001,201,3020600
